account_id,registration_date,unlock_price,down_payment,down_payment_days_included,daily_rate
3086512,2019-02-08 03:38:37+00,2880000,200000,14,4800
3086628,2019-02-08 05:19:21+00,2482960,200000,14,4800
3086656,2019-02-08 05:31:25+00,2880000,200000,14,4800
3086904,2019-02-08 06:49:30+00,2880000,200000,14,4800
3086952,2019-02-08 06:57:48+00,2880000,200000,14,4800
3087340,2019-02-08 08:15:07+00,2880000,200000,14,4800
3632008,2019-04-20 06:49:20+00,2880000,200000,14,4800
3632652,2019-04-20 08:14:29+00,2846400,200000,14,4800
3633200,2019-04-20 09:07:28+00,2850600,200000,14,4800
3633464,2019-04-20 09:29:50+00,2880000,200000,14,4800
3633744,2019-04-20 10:00:12+00,2880000,200000,14,4800
3633952,2019-04-20 10:17:03+00,2720000,200000,14,4800
4263320,2019-06-28 06:43:15+00,2846400,200000,14,4800
4263612,2019-06-28 07:27:47+00,2880000,200000,14,4800
4263796,2019-06-28 07:49:39+00,2880000,200000,14,4800
4264016,2019-06-28 08:18:14+00,2880000,200000,14,4800
4264032,2019-06-28 08:19:26+00,2880000,200000,14,4800
4264204,2019-06-28 08:35:47+00,2880000,200000,14,4800
4965780,2019-09-18 07:43:42+00,2880000,200000,14,4800
4967072,2019-09-18 10:13:27+00,2880000,200000,14,4800
4967096,2019-09-18 10:15:29+00,2880000,200000,14,4800
4967144,2019-09-18 10:20:40+00,2880000,200000,14,4800
4967792,2019-09-18 11:24:43+00,2880000,200000,14,4800
4967828,2019-09-18 11:27:41+00,2817000,200000,14,4800
4983344,2019-09-20 06:22:46+00,2880000,200000,14,4800
4983440,2019-09-20 06:31:52+00,2880000,200000,14,4800
4983572,2019-09-20 06:58:38+00,2880000,200000,14,4800
4983884,2019-09-20 07:37:40+00,2880000,200000,14,4800
4984596,2019-09-20 08:50:17+00,2480000,280000,7,36666.666624
4985276,2019-09-20 09:43:30+00,2880000,200000,14,4800
5889576,2019-12-30 05:11:54+00,2800000,180000,14,4800
5889820,2019-12-30 06:22:14+00,2800000,180000,14,4800
5889912,2019-12-30 06:48:42+00,2770600,180000,14,4800
5890180,2019-12-30 07:41:17+00,2800000,180000,14,4800
5890496,2019-12-30 08:20:34+00,2800000,180000,14,4800
5891772,2019-12-30 10:37:36+00,2800000,180000,14,4800
8385160,2020-08-16 05:44:47+00,2800000,180000,14,4800
8385208,2020-08-16 06:06:10+00,2800000,180000,14,4800
8385468,2020-08-16 07:08:54+00,2690800,180000,14,4800
8385548,2020-08-16 07:23:01+00,2741200,180000,14,4800
8385568,2020-08-16 07:28:04+00,2800000,180000,14,4800
8385648,2020-08-16 07:46:03+00,2800000,180000,14,4800
8464628,2020-08-28 05:50:38+00,2800000,180000,14,4800
8464724,2020-08-28 06:16:22+00,2800000,180000,14,4800
8464940,2020-08-28 06:51:59+00,2800000,180000,14,4800
8465072,2020-08-28 07:15:10+00,2800000,180000,14,4800
8465144,2020-08-28 07:24:30+00,2800000,180000,14,4800
8465212,2020-08-28 07:33:13+00,2800000,180000,14,4800
8697628,2020-09-26 06:18:47+00,2723600,180000,14,4800
8698712,2020-09-26 07:46:08+00,2800000,180000,14,4800
8698756,2020-09-26 07:49:18+00,2800000,180000,14,4800
8699384,2020-09-26 08:35:01+00,2800000,180000,14,4800
8699624,2020-09-26 08:53:29+00,2774400,180000,14,4800
8702084,2020-09-26 11:19:48+00,2800000,180000,14,4800
11764784,2021-05-02 03:51:38+00,2240000,280000,7,32666.666688
11765520,2021-05-02 07:18:53+00,2800000,180000,14,4800
11765708,2021-05-02 07:36:27+00,2800000,180000,14,4800
11765740,2021-05-02 07:38:25+00,2800000,180000,14,4800
11765744,2021-05-02 07:39:09+00,2774400,180000,14,4800
11765876,2021-05-02 07:55:41+00,2723600,180000,14,4800
13116344,2021-07-29 05:44:40+00,2800000,180000,14,4800
13116524,2021-07-29 06:16:12+00,2800000,180000,14,4800
13117508,2021-07-29 07:39:33+00,2800000,180000,14,4800
13118056,2021-07-29 08:18:22+00,2800000,180000,14,4800
13118132,2021-07-29 08:24:52+00,2800000,180000,14,4800
13118376,2021-07-29 08:39:52+00,2800000,180000,14,4800
15128348,2021-11-24 06:48:34+00,2800000,180000,14,4800
15128744,2021-11-24 07:26:26+00,2680000,180000,14,4800
15129028,2021-11-24 07:47:30+00,2800000,180000,14,4800
15129496,2021-11-24 08:23:15+00,2766400,180000,14,4800
15129636,2021-11-24 08:35:07+00,2800000,180000,14,4800
15130392,2021-11-24 09:15:16+00,2800000,180000,14,4800
3041648,2019-01-31 05:35:22+00,2822600,200000,14,4800
3041876,2019-01-31 06:25:18+00,2880000,200000,14,4800
3041884,2019-01-31 06:26:47+00,2880000,280000,7,4800
3041896,2019-01-31 06:28:59+00,2463320,200000,14,4800
3042312,2019-01-31 07:36:57+00,2728800,200000,14,4800
3042384,2019-01-31 07:48:48+00,2880000,200000,14,4800
5266584,2019-10-22 09:21:00+00,2500000,200000,14,4200
5266740,2019-10-22 09:57:20+00,2500000,200000,14,4200
5266932,2019-10-22 10:29:58+00,2500000,200000,14,4200
5266992,2019-10-22 10:44:02+00,2475920,200000,14,4200
6063436,2020-01-18 07:21:43+00,2774800,180000,14,4800
6063620,2020-01-18 07:45:16+00,2800000,180000,14,4800
6063800,2020-01-18 08:08:26+00,2800000,180000,14,4800
6064064,2020-01-18 08:37:38+00,2529400,180000,14,4800
6064404,2020-01-18 09:11:14+00,2800000,180000,14,4800
6065100,2020-01-18 10:17:53+00,2800000,180000,14,4800
7257164,2020-05-05 08:06:52+00,2800000,180000,14,4800
11176060,2021-03-18 05:46:41+00,2800000,180000,14,4800
11176576,2021-03-18 06:42:02+00,2800000,180000,14,4800
11176588,2021-03-18 06:42:44+00,2800000,180000,14,4800
